time,node_id,on_hand,backlog_external,backlog_children,pipeline_in,placed_orders
59,R1,0.0,14.0,0.0,380.0,222.0
59,R2,25.0,0.0,0.0,303.0,153.0
59,R3,244.0,0.0,0.0,760.0,353.0
60,Supplier,0.0,0.0,371.0,0.0,0.0
60,W1,636.0,0.0,375.0,1100.0,375.0
60,W2,304.0,0.0,0.0,1192.0,353.0
60,R1,262.0,0.0,0.0,0.0,326.0
60,R2,0.0,63.0,0.0,303.0,241.0
60,R3,69.0,0.0,0.0,1113.0,175.0
61,Supplier,0.0,0.0,0.0,0.0,0.0
61,W1,657.0,0.0,241.0,1128.0,192.0
61,W2,304.0,0.0,175.0,1545.0,175.0
61,R1,104.0,0.0,0.0,326.0,158.0
61,R2,158.0,0.0,0.0,0.0,323.0
61,R3,329.0,0.0,0.0,624.0,404.0
62,Supplier,0.0,0.0,367.0,0.0,0.0
62,W1,334.0,0.0,158.0,1128.0,432.0
62,W2,332.0,0.0,0.0,1113.0,404.0
62,R1,0.0,80.0,0.0,326.0,342.0
62,R2,51.0,0.0,0.0,323.0,107.0
62,R3,338.0,0.0,0.0,757.0,262.0
63,Supplier,0.0,0.0,0.0,0.0,0.0
63,W1,467.0,0.0,107.0,1085.0,291.0
63,W2,70.0,0.0,0.0,1517.0,262.0
63,R1,51.0,0.0,0.0,342.0,195.0
63,R2,0.0,70.0,0.0,323.0,228.0
63,R3,26.0,0.0,0.0,1019.0,312.0
64,Supplier,0.0,0.0,0.0,0.0,0.0
64,W1,745.0,0.0,423.0,1098.0,316.0
64,W2,247.0,0.0,0.0,1290.0,312.0
64,R1,0.0,169.0,0.0,342.0,415.0
64,R2,0.0,190.0,0.0,323.0,348.0
64,R3,96.0,0.0,0.0,978.0,283.0
65,Supplier,0.0,0.0,0.0,0.0,0.0
65,W1,0.0,0.0,18.0,1414.0,340.0
65,W2,235.0,0.0,0.0,1331.0,283.0
65,R1,14.0,0.0,0.0,415.0,159.0
65,R2,4.0,0.0,0.0,330.0,147.0
65,R3,0.0,89.0,0.0,1261.0,185.0
66,Supplier,0.0,0.0,0.0,0.0,0.0
66,W1,375.0,0.0,306.0,1379.0,288.0
66,W2,235.0,0.0,185.0,1614.0,185.0
66,R1,0.0,110.0,0.0,415.0,283.0
66,R2,0.0,79.0,0.0,330.0,230.0
66,R3,110.0,0.0,0.0,857.0,390.0
67,Supplier,0.0,0.0,185.0,0.0,0.0
67,W1,92.0,0.0,230.0,1667.0,207.0
67,W2,198.0,0.0,0.0,1261.0,390.0
67,R1,189.0,0.0,0.0,283.0,116.0
67,R2,0.0,162.0,0.0,330.0,313.0
67,R3,148.0,0.0,0.0,985.0,224.0
68,Supplier,0.0,0.0,207.0,0.0,0.0
68,W1,211.0,0.0,116.0,1235.0,406.0
68,W2,198.0,0.0,224.0,1651.0,224.0
68,R1,52.0,0.0,0.0,283.0,253.0
68,R2,105.0,0.0,0.0,313.0,63.0
68,R3,288.0,0.0,0.0,673.0,396.0
69,Supplier,0.0,0.0,224.0,0.0,0.0
69,W1,249.0,0.0,63.0,1350.0,200.0
69,W2,206.0,0.0,0.0,1247.0,396.0
69,R1,180.0,0.0,0.0,253.0,155.0
69,R2,38.0,0.0,0.0,313.0,130.0
69,R3,347.0,0.0,0.0,786.0,224.0
70,Supplier,0.0,0.0,200.0,0.0,0.0
70,W1,565.0,0.0,285.0,1034.0,422.0
70,W2,468.0,0.0,224.0,1381.0,224.0
70,R1,0.0,39.0,0.0,253.0,374.0
70,R2,0.0,63.0,0.0,313.0,231.0
70,R3,44.0,0.0,0.0,786.0,527.0
71,Supplier,0.0,0.0,224.0,0.0,0.0
71,W1,531.0,0.0,231.0,1116.0,320.0
71,W2,253.0,0.0,0.0,1069.0,527.0
71,R1,0.0,0.0,0.0,374.0,214.0
71,R2,132.0,0.0,0.0,0.0,349.0
71,R3,101.0,0.0,0.0,923.0,333.0
72,Supplier,0.0,0.0,0.0,0.0,0.0
72,W1,470.0,0.0,214.0,1148.0,332.0
72,W2,203.0,0.0,0.0,1313.0,333.0
72,R1,0.0,127.0,0.0,374.0,341.0
72,R2,35.0,0.0,0.0,349.0,97.0
72,R3,0.0,145.0,0.0,1256.0,246.0
73,Supplier,0.0,0.0,0.0,0.0,0.0
73,W1,129.0,0.0,97.0,1480.0,224.0
73,W2,203.0,0.0,246.0,1646.0,246.0
73,R1,101.0,0.0,0.0,341.0,146.0
73,R2,0.0,56.0,0.0,349.0,188.0
73,R3,40.0,0.0,0.0,860.0,457.0
74,Supplier,0.0,0.0,470.0,0.0,0.0
74,W1,535.0,0.0,334.0,1074.0,461.0
74,W2,136.0,0.0,0.0,1256.0,457.0
74,R1,0.0,15.0,0.0,341.0,262.0
74,R2,0.0,128.0,0.0,349.0,260.0
74,R3,0.0,200.0,0.0,1317.0,240.0
75,Supplier,0.0,0.0,0.0,0.0,0.0
75,W1,13.0,0.0,0.0,1535.0,188.0
75,W2,136.0,0.0,240.0,1713.0,240.0
75,R1,181.0,0.0,0.0,262.0,145.0
75,R2,156.0,0.0,0.0,260.0,65.0
75,R3,125.0,0.0,0.0,790.0,442.0
76,Supplier,0.0,0.0,428.0,0.0,0.0
76,W1,435.0,0.0,210.0,1113.0,398.0
76,W2,90.0,0.0,0.0,1317.0,442.0
76,R1,20.0,0.0,0.0,262.0,306.0
76,R2,70.0,0.0,0.0,260.0,151.0
76,R3,218.0,0.0,0.0,899.0,240.0
77,Supplier,0.0,0.0,0.0,0.0,0.0
77,W1,449.0,0.0,151.0,1191.0,247.0
77,W2,90.0,0.0,240.0,1759.0,240.0
77,R1,71.0,0.0,0.0,306.0,211.0
77,R2,0.0,76.0,0.0,260.0,297.0
77,R3,0.0,71.0,0.0,899.0,529.0
78,Supplier,0.0,0.0,487.0,0.0,0.0
78,W1,484.0,0.0,211.0,859.0,604.0
78,W2,88.0,0.0,0.0,1232.0,529.0
78,R1,0.0,139.0,0.0,306.0,421.0
78,R2,60.0,0.0,0.0,297.0,124.0
78,R3,83.0,0.0,0.0,971.0,303.0
79,Supplier,0.0,0.0,0.0,0.0,0.0
79,W1,63.0,0.0,124.0,1463.0,334.0
79,W2,118.0,0.0,0.0,1428.0,303.0
79,R1,8.0,0.0,0.0,421.0,159.0
79,R2,0.0,22.0,0.0,297.0,206.0
79,R3,0.0,132.0,0.0,1274.0,215.0
80,Supplier,0.0,0.0,0.0,0.0,0.0
80,W1,524.0,0.0,365.0,1336.0,241.0
80,W2,118.0,0.0,215.0,1731.0,215.0
80,R1,0.0,121.0,0.0,421.0,288.0
80,R2,0.0,100.0,0.0,297.0,284.0
80,R3,87.0,0.0,0.0,832.0,438.0
81,Supplier,0.0,0.0,456.0,0.0,0.0
81,W1,236.0,0.0,284.0,1336.0,448.0
81,W2,137.0,0.0,0.0,1274.0,438.0
81,R1,162.0,0.0,0.0,288.0,138.0
81,R2,113.0,0.0,0.0,0.0,368.0
81,R3,0.0,155.0,0.0,1270.0,242.0
82,Supplier,0.0,0.0,0.0,0.0,0.0
82,W1,266.0,0.0,138.0,1386.0,222.0
82,W2,137.0,0.0,242.0,1712.0,242.0
82,R1,37.0,0.0,0.0,288.0,263.0
82,R2,43.0,0.0,0.0,368.0,70.0
