t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase
66,Warehouse,63,0,0,153,44,56,EOD
66,R1,60,0,0,29,31,33,EOD
66,R2,31,0,0,36,43,33,EOD
67,Supplier,0,0,0,0,0,0,EOD
67,Warehouse,88,0,0,98,74,99,EOD
67,R1,68,0,0,31,21,29,EOD
67,R2,23,0,0,58,29,21,EOD
68,Supplier,0,0,0,0,0,0,EOD
68,Warehouse,92,0,0,118,50,54,EOD
68,R1,69,0,0,21,30,31,EOD
68,R2,19,0,0,72,19,15,EOD
69,Supplier,0,0,0,0,0,0,EOD
69,Warehouse,87,0,0,124,49,44,EOD
69,R1,70,0,0,30,20,21,EOD
69,R2,34,0,0,48,28,43,EOD
70,Supplier,0,0,0,0,0,0,EOD
70,Warehouse,113,0,0,99,48,74,EOD
70,R1,66,0,0,20,34,30,EOD
70,R2,0,2,0,47,65,29,EOD
71,Supplier,0,0,0,0,0,0,EOD
71,Warehouse,64,0,0,97,99,50,EOD
71,R1,54,0,0,34,32,20,EOD
71,R2,17,0,0,93,0,19,EOD
72,Supplier,0,0,0,0,0,0,EOD
72,Warehouse,81,0,0,147,32,49,EOD
72,R1,48,0,0,32,40,34,EOD
72,R2,43,0,0,65,2,28,EOD
73,Supplier,0,0,0,0,0,0,EOD
73,Warehouse,87,0,0,131,42,48,EOD
73,R1,46,0,0,40,34,32,EOD
73,R2,108,0,0,2,0,65,EOD
74,Supplier,0,0,0,0,0,0,EOD
74,Warehouse,152,0,0,74,34,99,EOD
74,R1,33,0,0,34,53,40,EOD
74,R2,93,0,0,2,15,0,EOD
75,Supplier,0,0,0,0,0,0,EOD
75,Warehouse,116,0,0,76,68,32,EOD
75,R1,19,0,0,53,48,34,EOD
75,R2,63,0,0,15,32,2,EOD
76,Supplier,0,0,0,0,0,0,EOD
76,Warehouse,78,0,0,102,80,42,EOD
76,R1,16,0,0,48,56,53,EOD
76,R2,12,0,0,47,51,0,EOD
77,Supplier,0,0,0,0,0,0,EOD
77,Warehouse,5,0,0,148,107,34,EOD
77,R1,0,23,0,104,39,0,EOD
77,R2,0,4,0,83,31,15,EOD
78,Supplier,0,0,0,0,0,0,EOD
78,Warehouse,3,0,0,187,70,68,EOD
78,R1,0,9,0,87,42,56,EOD
78,R2,7,0,0,82,21,32,EOD
79,Supplier,0,0,0,0,0,0,EOD
79,Warehouse,20,0,0,177,63,80,EOD
79,R1,40,0,0,42,38,87,EOD
