t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase
17,R1,61,0,0,0,0,9,after_arrivals
17,R2,46,0,0,7,0,7,after_arrivals
17,R1,52,0,0,0,0,0,after_demand
17,R2,39,0,0,7,0,0,after_demand
17,Supplier,0,0,0,0,0,0,after_shipments
17,Warehouse,92,0,0,32,0,0,after_shipments
17,R1,52,0,0,9,0,0,after_shipments
17,R2,39,0,0,14,0,0,after_shipments
17,Warehouse,92,0,0,32,16,0,after_ordering
17,R1,52,0,0,9,9,0,after_ordering
17,R2,39,0,0,14,7,0,after_ordering
17,Supplier,0,0,0,0,0,0,EOD
17,Warehouse,92,0,0,32,16,16,EOD
17,R1,52,0,0,9,9,9,EOD
17,R2,39,0,0,14,7,7,EOD
18,Supplier,0,0,0,0,0,0,after_arrivals
18,Warehouse,108,0,0,16,0,16,after_arrivals
18,R1,52,0,0,9,0,0,after_arrivals
18,R2,46,0,0,7,0,7,after_arrivals
18,R1,43,0,0,9,0,0,after_demand
18,R2,39,0,0,7,0,0,after_demand
18,Supplier,0,0,0,0,0,0,after_shipments
18,Warehouse,92,0,0,32,0,0,after_shipments
18,R1,43,0,0,18,0,0,after_shipments
18,R2,39,0,0,14,0,0,after_shipments
18,Warehouse,92,0,0,32,16,0,after_ordering
18,R1,43,0,0,18,9,0,after_ordering
18,R2,39,0,0,14,7,0,after_ordering
18,Supplier,0,0,0,0,0,0,EOD
18,Warehouse,92,0,0,32,16,16,EOD
18,R1,43,0,0,18,9,0,EOD
18,R2,39,0,0,14,7,7,EOD
19,Supplier,0,0,0,0,0,0,after_arrivals
19,Warehouse,108,0,0,16,0,16,after_arrivals
19,R1,43,0,0,18,0,0,after_arrivals
19,R2,46,0,0,7,0,7,after_arrivals
19,R1,34,0,0,18,0,0,after_demand
19,R2,39,0,0,7,0,0,after_demand
19,Supplier,0,0,0,0,0,0,after_shipments
19,Warehouse,92,0,0,32,0,0,after_shipments
19,R1,34,0,0,27,0,0,after_shipments
19,R2,39,0,0,14,0,0,after_shipments
19,Warehouse,92,0,0,32,16,0,after_ordering
19,R1,34,0,0,27,9,0,after_ordering
19,R2,39,0,0,14,7,0,after_ordering
19,Supplier,0,0,0,0,0,0,EOD
19,Warehouse,92,0,0,32,16,16,EOD
19,R1,34,0,0,27,9,0,EOD
19,R2,39,0,0,14,7,7,EOD
20,Supplier,0,0,0,0,0,0,after_arrivals
20,Warehouse,108,0,0,16,0,16,after_arrivals
20,R1,52,0,0,9,0,18,after_arrivals
20,R2,46,0,0,7,0,7,after_arrivals
20,R1,43,0,0,9,0,0,after_demand
20,R2,39,0,0,7,0,0,after_demand
20,Supplier,0,0,0,0,0,0,after_shipments
20,Warehouse,92,0,0,32,0,0,after_shipments
20,R1,43,0,0,18,0,0,after_shipments
20,R2,39,0,0,14,0,0,after_shipments
20,Warehouse,92,0,0,32,16,0,after_ordering
20,R1,43,0,0,18,9,0,after_ordering
20,R2,39,0,0,14,7,0,after_ordering
20,Supplier,0,0,0,0,0,0,EOD
20,Warehouse,92,0,0,32,16,16,EOD
20,R1,43,0,0,18,9,18,EOD
20,R2,39,0,0,14,7,7,EOD
21,Supplier,0,0,0,0,0,0,after_arrivals
21,Warehouse,108,0,0,16,0,16,after_arrivals
21,R1,61,0,0,0,0,18,after_arrivals
21,R2,46,0,0,7,0,7,after_arrivals
21,R1,52,0,0,0,0,0,after_demand
21,R2,39,0,0,7,0,0,after_demand
21,Supplier,0,0,0,0,0,0,after_shipments
21,Warehouse,92,0,0,32,0,0,after_shipments
21,R1,52,0,0,9,0,0,after_shipments
21,R2,39,0,0,14,0,0,after_shipments
21,Warehouse,92,0,0,32,16,0,after_ordering
21,R1,52,0,0,9,9,0,after_ordering
21,R2,39,0,0,14,7,0,after_ordering
21,Supplier,0,0,0,0,0,0,EOD
21,Warehouse,92,0,0,32,16,16,EOD
21,R1,52,0,0,9,9,18,EOD
21,R2,39,0,0,14,7,7,EOD
22,Supplier,0,0,0,0,0,0,after_arrivals
22,Warehouse,108,0,0,16,0,16,after_arrivals
22,R1,61,0,0,0,0,9,after_arrivals
22,R2,46,0,0,7,0,7,after_arrivals
22,R1,52,0,0,0,0,0,after_demand
22,R2,39,0,0,7,0,0,after_demand
22,Supplier,0,0,0,0,0,0,after_shipments
22,Warehouse,92,0,0,32,0,0,after_shipments
22,R1,52,0,0,9,0,0,after_shipments
22,R2,39,0,0,14,0,0,after_shipments
22,Warehouse,92,0,0,32,16,0,after_ordering
22,R1,52,0,0,9,9,0,after_ordering
22,R2,39,0,0,14,7,0,after_ordering
22,Supplier,0,0,0,0,0,0,EOD
22,Warehouse,92,0,0,32,16,16,EOD
22,R1,52,0,0,9,9,9,EOD
22,R2,39,0,0,14,7,7,EOD
23,Supplier,0,0,0,0,0,0,after_arrivals
23,Warehouse,108,0,0,16,0,16,after_arrivals
23,R1,61,0,0,0,0,9,after_arrivals
23,R2,46,0,0,7,0,7,after_arrivals
23,R1,52,0,0,0,0,0,after_demand
23,R2,39,0,0,7,0,0,after_demand
