time,node_id,on_hand,backlog_external,backlog_children,pipeline_in
86,R1,0.0,297.0,0.0,535.0
86,R2,0.0,61.0,0.0,0.0
86,R3,0.0,506.0,0.0,1328.0
87,Supplier,0.0,0.0,0.0,0.0
87,W1,473.0,0.0,350.0,1416.0
87,W2,0.0,0.0,29.0,1661.0
87,R1,133.0,0.0,0.0,0.0
87,R2,0.0,128.0,0.0,542.0
87,R3,3.0,0.0,0.0,1156.0
88,Supplier,0.0,0.0,17.0,0.0
88,W1,743.0,0.0,522.0,1343.0
88,W2,200.0,0.0,198.0,1661.0
88,R1,0.0,3.0,0.0,0.0
88,R2,0.0,202.0,0.0,542.0
88,R3,0.0,196.0,0.0,1156.0
89,Supplier,0.0,0.0,0.0,0.0
89,W1,347.0,0.0,141.0,1320.0
89,W2,480.0,0.0,397.0,1567.0
89,R1,0.0,114.0,0.0,591.0
89,R2,0.0,264.0,0.0,542.0
89,R3,261.0,0.0,0.0,506.0
