t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
14,W1,45.0,0.0,0.0,1413.0,278.0,0.0,EOD,0,0.0,0.9,0.0,17.78,730.0,748.68
14,W2,272.0,0.0,0.0,983.0,251.0,415.0,EOD,0,0.0,5.44,0.0,17.51,600.0,622.95
14,R1,85.0,0.0,0.0,279.0,224.0,209.0,EOD,224,224.0,2.55,0.0,0.0,0.0,2.55
14,R2,0.0,76.0,0.0,415.0,142.0,0.0,EOD,142,66.0,0.0,38.0,0.0,0.0,38.0
14,R3,232.0,0.0,0.0,778.0,347.0,224.0,EOD,347,347.0,6.96,0.0,0.0,0.0,6.96
15,Supplier,0.0,0.0,278.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,500.0,500.0
15,W1,407.0,0.0,142.0,827.0,366.0,586.0,EOD,0,0.0,8.14,0.0,18.66,350.0,376.8
15,W2,0.0,0.0,75.0,1577.0,347.0,0.0,EOD,0,0.0,0.0,0.0,18.47,350.0,368.47
15,R1,0.0,141.0,0.0,503.0,226.0,0.0,EOD,226,85.0,0.0,70.5,0.0,0.0,70.5
15,R2,0.0,27.0,0.0,211.0,155.0,204.0,EOD,155,128.0,0.0,13.5,0.0,0.0,13.5
15,R3,0.0,100.0,0.0,1050.0,332.0,0.0,EOD,332,232.0,0.0,50.0,0.0,0.0,50.0
16,Supplier,0.0,0.0,347.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,500.0,500.0
16,W1,110.0,0.0,226.0,1471.0,381.0,0.0,EOD,0,0.0,2.2,0.0,18.81,380.0,401.01
16,W2,168.0,0.0,0.0,1002.0,332.0,575.0,EOD,0,0.0,3.36,0.0,18.32,600.0,621.68
16,R1,0.0,4.0,0.0,224.0,142.0,279.0,EOD,142,138.0,0.0,2.0,0.0,0.0,2.0
16,R2,0.0,120.0,0.0,508.0,93.0,0.0,EOD,93,0.0,0.0,60.0,0.0,0.0,60.0
16,R3,53.0,0.0,0.0,1087.0,217.0,370.0,EOD,217,217.0,1.5899999999999999,0.0,0.0,0.0,1.5899999999999999
17,Supplier,0.0,0.0,381.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,500.0,500.0
17,W1,152.0,0.0,93.0,1061.0,235.0,410.0,EOD,0,0.0,3.04,0.0,17.35,350.0,370.39
17,W2,168.0,0.0,217.0,1681.0,217.0,0.0,EOD,0,0.0,3.36,0.0,17.17,0.0,20.53
17,R1,87.0,0.0,0.0,368.0,133.0,224.0,EOD,133,133.0,2.61,0.0,0.0,0.0,2.61
17,R2,8.0,0.0,0.0,297.0,83.0,211.0,EOD,83,83.0,0.24,0.0,0.0,0.0,0.24
17,R3,0.0,193.0,0.0,1087.0,246.0,0.0,EOD,246,53.0,0.0,96.5,0.0,0.0,96.5
18,Supplier,0.0,0.0,217.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,500.0,500.0
18,W1,152.0,0.0,309.0,1677.0,216.0,0.0,EOD,0,0.0,3.04,0.0,17.16,0.0,20.2
18,W2,113.0,0.0,0.0,1273.0,246.0,408.0,EOD,0,0.0,2.2600000000000002,0.0,17.46,600.0,619.72
18,R1,0.0,39.0,0.0,368.0,126.0,0.0,EOD,126,87.0,0.0,19.5,0.0,0.0,19.5
18,R2,0.0,69.0,0.0,297.0,77.0,0.0,EOD,77,8.0,0.0,34.5,0.0,0.0,34.5
18,R3,33.0,0.0,0.0,1142.0,182.0,408.0,EOD,182,182.0,0.99,0.0,0.0,0.0,0.99
