t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in
16,W2,SKU_B,91,0,0,612
16,W2,SKU_C,926,0,0,1041
16,W2,SKU_D,7,0,0,738
16,W2,SKU_E,623,0,0,701
16,R1,SKU_A,436,0,0,0
16,R1,SKU_B,391,0,0,0
16,R1,SKU_C,798,0,0,0
16,R1,SKU_D,283,0,0,0
16,R1,SKU_E,73,0,0,0
16,R2,SKU_A,886,0,0,357
16,R2,SKU_B,552,0,0,154
16,R2,SKU_C,620,0,0,168
16,R2,SKU_D,222,0,0,121
16,R2,SKU_E,395,0,0,154
16,R3,SKU_A,454,0,0,819
16,R3,SKU_B,337,0,0,248
16,R3,SKU_C,724,0,0,500
16,R3,SKU_D,458,0,0,325
16,R3,SKU_E,599,0,0,295
17,Supplier,SKU_A,0,0,0,0
17,Supplier,SKU_B,0,0,0,0
17,Supplier,SKU_C,0,0,0,0
17,Supplier,SKU_D,0,0,0,0
17,Supplier,SKU_E,0,0,0,0
17,W1,SKU_A,0,0,75,1455
17,W1,SKU_B,400,0,0,655
17,W1,SKU_C,192,0,0,797
17,W1,SKU_D,0,0,90,559
17,W1,SKU_E,1165,0,0,628
17,W2,SKU_A,2605,0,0,1203
17,W2,SKU_B,260,0,0,387
17,W2,SKU_C,1180,0,0,701
17,W2,SKU_D,177,0,0,485
17,W2,SKU_E,797,0,0,464
17,R1,SKU_A,300,0,0,411
17,R1,SKU_B,364,0,0,132
17,R1,SKU_C,732,0,0,223
17,R1,SKU_D,240,0,0,134
17,R1,SKU_E,38,0,0,164
17,R2,SKU_A,796,0,0,357
17,R2,SKU_B,498,0,0,154
17,R2,SKU_C,587,0,0,168
17,R2,SKU_D,175,0,0,121
17,R2,SKU_E,357,0,0,154
17,R3,SKU_A,299,0,0,819
17,R3,SKU_B,281,0,0,248
17,R3,SKU_C,649,0,0,500
17,R3,SKU_D,382,0,0,325
17,R3,SKU_E,529,0,0,295
18,Supplier,SKU_A,0,0,0,0
18,Supplier,SKU_B,0,0,0,0
18,Supplier,SKU_C,0,0,0,0
18,Supplier,SKU_D,0,0,0,0
18,Supplier,SKU_E,0,0,0,0
18,W1,SKU_A,0,0,301,1455
18,W1,SKU_B,319,0,0,655
18,W1,SKU_C,93,0,0,797
18,W1,SKU_D,0,0,180,559
18,W1,SKU_E,1092,0,0,628
18,W2,SKU_A,2450,0,0,1203
18,W2,SKU_B,204,0,0,387
18,W2,SKU_C,1105,0,0,701
18,W2,SKU_D,101,0,0,485
18,W2,SKU_E,727,0,0,464
18,R1,SKU_A,213,0,0,411
18,R1,SKU_B,324,0,0,132
18,R1,SKU_C,669,0,0,223
18,R1,SKU_D,222,0,0,134
18,R1,SKU_E,0,1,0,164
18,R2,SKU_A,696,0,0,357
18,R2,SKU_B,462,0,0,154
18,R2,SKU_C,555,0,0,168
18,R2,SKU_D,147,0,0,121
18,R2,SKU_E,323,0,0,154
18,R3,SKU_A,100,0,0,1351
18,R3,SKU_B,225,0,0,416
18,R3,SKU_C,518,0,0,762
18,R3,SKU_D,298,0,0,572
18,R3,SKU_E,459,0,0,492
19,Supplier,SKU_A,0,0,0,0
19,Supplier,SKU_B,0,0,0,0
19,Supplier,SKU_C,0,0,0,0
19,Supplier,SKU_D,0,0,0,0
19,Supplier,SKU_E,0,0,0,0
19,W1,SKU_A,165,0,0,802
19,W1,SKU_B,550,0,0,348
19,W1,SKU_C,355,0,0,440
19,W1,SKU_D,3,0,0,330
19,W1,SKU_E,1296,0,0,351
19,W2,SKU_A,2251,0,0,1735
19,W2,SKU_B,148,0,0,555
19,W2,SKU_C,974,0,0,963
19,W2,SKU_D,17,0,0,732
19,W2,SKU_E,657,0,0,661
19,R1,SKU_A,487,0,0,0
19,R1,SKU_B,410,0,0,0
19,R1,SKU_C,810,0,0,0
19,R1,SKU_D,305,0,0,0
19,R1,SKU_E,101,0,0,0
19,R2,SKU_A,929,0,0,278
19,R2,SKU_B,550,0,0,136
19,R2,SKU_C,682,0,0,107
19,R2,SKU_D,221,0,0,135
19,R2,SKU_E,433,0,0,110
19,R3,SKU_A,729,0,0,532
19,R3,SKU_B,412,0,0,168
19,R3,SKU_C,923,0,0,262
19,R3,SKU_D,530,0,0,247
19,R3,SKU_E,673,0,0,197
20,Supplier,SKU_A,0,0,0,0
20,Supplier,SKU_B,0,0,0,0
20,Supplier,SKU_C,0,0,0,0
20,Supplier,SKU_D,0,0,0,0
20,Supplier,SKU_E,0,0,0,0
20,W1,SKU_A,0,0,96,1424
20,W1,SKU_B,438,0,0,578
20,W1,SKU_C,232,0,0,729
20,W1,SKU_D,0,0,95,536
20,W1,SKU_E,1190,0,0,572
20,W2,SKU_A,2663,0,0,1133
20,W2,SKU_B,299,0,0,343
20,W2,SKU_C,1239,0,0,603
20,W2,SKU_D,178,0,0,478
20,W2,SKU_E,837,0,0,400
20,R1,SKU_A,321,0,0,360
20,R1,SKU_B,319,0,0,113
20,R1,SKU_C,708,0,0,211
20,R1,SKU_D,222,0,0,94
20,R1,SKU_E,29,0,0,136
20,R2,SKU_A,796,0,0,278
20,R2,SKU_B,475,0,0,136
20,R2,SKU_C,637,0,0,107
20,R2,SKU_D,172,0,0,135
20,R2,SKU_E,377,0,0,110
20,R3,SKU_A,469,0,0,532
20,R3,SKU_B,302,0,0,168
20,R3,SKU_C,738,0,0,262
20,R3,SKU_D,405,0,0,247
20,R3,SKU_E,586,0,0,197
21,Supplier,SKU_A,0,0,0,0
21,Supplier,SKU_B,0,0,0,0
21,Supplier,SKU_C,0,0,0,0
21,Supplier,SKU_D,0,0,0,0
21,Supplier,SKU_E,0,0,0,0
21,W1,SKU_A,0,0,395,1424
21,W1,SKU_B,272,0,0,578
21,W1,SKU_C,85,0,0,729
21,W1,SKU_D,0,0,227,536
21,W1,SKU_E,1062,0,0,572
21,W2,SKU_A,2403,0,0,1133
21,W2,SKU_B,189,0,0,343
21,W2,SKU_C,1054,0,0,603
21,W2,SKU_D,53,0,0,478
21,W2,SKU_E,750,0,0,400
21,R1,SKU_A,172,0,0,360
21,R1,SKU_B,238,0,0,113
21,R1,SKU_C,607,0,0,211
21,R1,SKU_D,162,0,0,94
21,R1,SKU_E,0,34,0,136
21,R2,SKU_A,674,0,0,278
21,R2,SKU_B,402,0,0,136
21,R2,SKU_C,572,0,0,107
21,R2,SKU_D,116,0,0,135
21,R2,SKU_E,335,0,0,110
21,R3,SKU_A,250,0,0,1181
21,R3,SKU_B,209,0,0,395
21,R3,SKU_C,593,0,0,673
21,R3,SKU_D,303,0,0,549
21,R3,SKU_E,505,0,0,435
22,Supplier,SKU_A,0,0,0,0
22,Supplier,SKU_B,0,0,0,0
22,Supplier,SKU_C,0,0,0,0
22,Supplier,SKU_D,0,0,0,0
22,Supplier,SKU_E,0,0,0,0
22,W1,SKU_A,136,0,0,622
22,W1,SKU_B,466,0,0,230
22,W1,SKU_C,359,0,0,289
22,W1,SKU_D,0,0,13,206
22,W1,SKU_E,1308,0,0,221
22,W2,SKU_A,2785,0,0,1181
22,W2,SKU_B,271,0,0,395
22,W2,SKU_C,1250,0,0,673
22,W2,SKU_D,182,0,0,549
22,W2,SKU_E,872,0,0,435
22,R1,SKU_A,410,0,0,0
22,R1,SKU_B,305,0,0,0
22,R1,SKU_C,762,0,0,0
22,R1,SKU_D,214,0,0,0
22,R1,SKU_E,58,0,0,0
22,R2,SKU_A,849,0,0,379
22,R2,SKU_B,485,0,0,214
22,R2,SKU_C,647,0,0,151
22,R2,SKU_D,213,0,0,139
22,R2,SKU_E,391,0,0,142
22,R3,SKU_A,625,0,0,649
22,R3,SKU_B,312,0,0,227
22,R3,SKU_C,746,0,0,411
22,R3,SKU_D,451,0,0,302
22,R3,SKU_E,635,0,0,238
23,Supplier,SKU_A,0,0,0,0
23,Supplier,SKU_B,0,0,0,0
23,Supplier,SKU_C,0,0,0,0
23,Supplier,SKU_D,0,0,0,0
23,Supplier,SKU_E,0,0,0,0
23,W1,SKU_A,0,0,89,1453
23,W1,SKU_B,367,0,0,662
23,W1,SKU_C,271,0,0,725
23,W1,SKU_D,0,0,93,552
23,W1,SKU_E,1210,0,0,560
23,W2,SKU_A,2628,0,0,1181
23,W2,SKU_B,206,0,0,395
23,W2,SKU_C,1141,0,0,673
23,W2,SKU_D,83,0,0,549
23,W2,SKU_E,805,0,0,435
23,R1,SKU_A,305,0,0,437
23,R1,SKU_B,277,0,0,218
23,R1,SKU_C,699,0,0,259
23,R1,SKU_D,184,0,0,191
23,R1,SKU_E,20,0,0,179
